id,title,timestamp,reference,topics,oeil_subjects,eurovoc_concepts,result,topics_filled,topics_effective
168446,Advance passenger information: enhancing and facilitating external border controls,2024-04-25T12:43:38,A9-0409/2023,Migration,"Free movement and integration of third-country nationals, Schengen area, Schengen acquis, External borders crossing and controls, visas, Migration policy","free movement of persons, illegal migration, air transport, carriage of passengers, data protection, disclosure of information, border control, personal data, external border of the EU, exchange of information, European Data Protection Supervisor, European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice",ADOPTED,Migration,Migration
168485,Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act),2024-04-25T12:44:14,A9-0343/2023,"Climate and environment, Economy and budget","Industrial policy, Environmental policy","EU financing, innovation, modernisation of industry, production policy, industrial project, clean technology, industrial development, regional development, soft technology, competitiveness, sustainable development, soft energy, energy transition, carbon neutrality, renewable energy",ADOPTED,"Climate and environment, Economy and budget","Climate and environment, Economy and budget"
168833,Draft Amending Budget 3/2024: Reinforcing the European Public Prosecutor's Office following the accession of Poland and the expected participation of Sweden,2024-04-25T12:43:19,A9-0179/2024,Economy and budget,2024 budget,"wage cost, wage earner, amending budget, general budget (EU), EU expenditure, EU office or agency, draft budget (EU), financial year, European Public Prosecutor's Office",ADOPTED,Economy and budget,Economy and budget
168984,Interinstitutional Body for Ethical Standards,2024-04-25T12:40:48,A9-0181/2024,,"Institutions of the Union, Interinstitutional relations, subsidiarity, proportionality, comitology",,ADOPTED,Democracy,Democracy
168997,"Gradual roll-out of Eudamed, information obligation in case of interruption of supply and the transitional provisions for certain in vitro diagnostic medical devices",2024-04-25T12:19:38,C9-0010/2024,,,,ADOPTED,,
169085,Estimates of revenue and expenditure for the financial year 2025 – Section I – European Parliament,2024-04-25T12:42:50,A9-0180/2024,Economy and budget,2025 budget,,ADOPTED,Economy and budget,Economy and budget
169153,Russia’s undemocratic presidential elections and their illegitimate extension to the occupied territories,2024-04-25T12:45:30,RC-B9-0253/2024,Foreign affairs,"Fundamental freedoms, human rights, democracy in general, Relations with Russian Federation",,ADOPTED,Foreign affairs,Foreign affairs
169157,"Azerbaijan, notably the repression of civil society and the cases of Dr Gubad Ibadoghlu and Ilhamiz Guliyev",2024-04-25T12:20:42,RC-B9-0227/2024,,"Fundamental freedoms, human rights, democracy in general",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
169182,"Iran’s unprecedented attack against Israel, the need for de-escalation and an EU response",2024-04-25T12:58:39,RC-B9-0235/2024,,"Third-country political situation, local and regional conflicts",,ADOPTED,Foreign affairs,Foreign affairs
169187,Attempts to reintroduce a foreign agent law in Georgia and its restrictions on civil society,2024-04-25T12:53:44,RC-B9-0244/2024,,"Fundamental freedoms, human rights, democracy in general",,ADOPTED,"Democracy, Human rights","Democracy, Human rights"
169197,The proposed repeal of the law banning female genital mutilation in The Gambia,2024-04-25T12:21:01,RC-B9-0228/2024,Gender equality,"Child protection, children's rights, Women condition and rights, Fundamental freedoms, human rights, democracy in general",,ADOPTED,Gender equality,Gender equality
169252,"New allegations of Russian interference in the European Parliament, in the upcoming EU elections and the impact on the Union",2024-04-25T12:51:39,RC-B9-0262/2024,Digital,"Ethical information policy, International information networks and society, internet, Elections, direct universal suffrage",,ADOPTED,Digital,Digital
168262,European Disability Card and European Parking Card for persons with disabilities,2024-04-24T12:56:38,A9-0003/2024,,People with disabilities,"disabled person, free movement of persons, European social policy, health card, freedom of movement, access to information, parking area, mutual recognition principle, discrimination based on disability, Internet site, equal treatment",ADOPTED,Social protection,Social protection
168264,Anti-Money Laundering Regulation,2024-04-24T17:52:23,A9-0151/2023,,"Electronic money and payments, cross-border credit transfers, Financial supervision, Action to combat terrorism , Capital outflow, money laundering ","financial institution, fight against crime, banking supervision, money laundering, economic offence, exchange of information, financial supervision, terrorism financing ",ADOPTED,"Economy and budget, Security and Justice","Economy and budget, Security and Justice"
168266,Measures to mitigate excessive exposures to third-country central counterparties and improve the efficiency of Union clearing markets,2024-04-24T17:32:27,A9-0398/2023,,"Securities and financial markets, stock exchange, CIUTS, investments, Financial services, financial reporting and auditing, Financial supervision","financial instrument, financial control, private-sector liquidity, credit institution, investment company, financial transaction, securities, capital market, financial legislation, financial supervision",ADOPTED,Economy and budget,Economy and budget
168268,Cross-border exchange of information on road-safety related traffic offences,2024-04-24T12:43:21,A9-0396/2023,,"Protection of privacy and data protection, Transport regulations, road safety, roadworthiness tests, driving licence","cross-border cooperation, cross-frontier data flow, vehicle registration, road safety, information system, data protection, EU Member State, personal data, exchange of information, traffic offence",ADOPTED,"Data protection and privacy, Transport","Data protection and privacy, Transport"
168270,Improving working conditions in platform work,2024-04-24T12:53:07,A9-0301/2022,Worker’s rights,"Information and communication technologies, digital technologies, Workforce, occupational mobility, job conversion, working conditions, Workers protection and rights, labour law","staff, EU employment policy, self-employed person, labour law, working conditions, digital transformation, online platform worker",ADOPTED,Worker’s rights,Worker’s rights
168272,Schengen Borders Code,2024-04-24T12:42:59,A9-0280/2023,Migration,"Free movement and integration of third-country nationals, Schengen area, Schengen acquis, External borders crossing and controls, visas","illegal migration, migrant, foreign national, residence permit, travel, internal border of the EU, Schengen Agreement, border control, external border of the EU, EU migration policy",ADOPTED,Migration,Migration
